1, ocean, minecraft:ocean, MONSTER, minecraft:spider, 80, 4, 4
2, ocean, minecraft:ocean, MONSTER, minecraft:zombie, 80, 4, 4
3, ocean, minecraft:ocean, MONSTER, minecraft:zombie_villager, 10, 1, 1
4, ocean, minecraft:ocean, MONSTER, minecraft:skeleton, 80, 4, 4
5, ocean, minecraft:ocean, MONSTER, minecraft:creeper, 80, 4, 4
6, ocean, minecraft:ocean, MONSTER, minecraft:slime, 80, 4, 4
7, ocean, minecraft:ocean, MONSTER, minecraft:enderman, 5, 1, 4
8, ocean, minecraft:ocean, MONSTER, minecraft:witch, 5, 1, 1
9, ocean, minecraft:ocean, MONSTER, minecraft:drowned, 10, 1, 1
10, ocean, minecraft:ocean, MONSTER, betterdefaultbiomes:lost_miner, 80, 1, 3
11, ocean, minecraft:ocean, MONSTER, tconstruct:earth_slime, 80, 2, 4
12, ocean, minecraft:ocean, MONSTER, tconstruct:sky_slime, 80, 2, 4
13, ocean, minecraft:ocean, MONSTER, quark:toretoise, 80, 1, 1
14, ocean, minecraft:ocean, MONSTER, quark:stoneling, 80, 1, 1
15, ocean, minecraft:ocean, AMBIENT, minecraft:bat, 10, 8, 8
16, ocean, minecraft:ocean, WATER_CREATURE, minecraft:squid, 10, 1, 4
17, ocean, minecraft:ocean, WATER_CREATURE, minecraft:dolphin, 10, 1, 2
18, ocean, minecraft:ocean, WATER_CREATURE, betteranimalsplus:shark, 10, 1, 3
19, ocean, minecraft:ocean, WATER_CREATURE, betteranimalsplus:whale, 10, 1, 3
20, ocean, minecraft:ocean, WATER_AMBIENT, minecraft:cod, 10, 3, 6
21, ocean, minecraft:ocean, WATER_AMBIENT, aquaculture:tuna, 10, 1, 1
22, ocean, minecraft:ocean, WATER_AMBIENT, aquaculture:atlantic_herring, 20, 1, 6
23, ocean, minecraft:ocean, WATER_AMBIENT, aquaculture:red_grouper, 10, 1, 2
24, ocean, minecraft:ocean, WATER_AMBIENT, aquaculture:atlantic_halibut, 10, 1, 1
25, ocean, minecraft:ocean, WATER_AMBIENT, aquaculture:jellyfish, 10, 1, 3
26, ocean, minecraft:ocean, WATER_AMBIENT, betteranimalsplus:bobbit_worm, 10, 1, 1
27, ocean, minecraft:ocean, WATER_AMBIENT, betteranimalsplus:jellyfish, 10, 1, 5
28, ocean, minecraft:ocean, WATER_AMBIENT, betteranimalsplus:nautilus, 10, 1, 1
29, ocean, minecraft:ocean, WATER_AMBIENT, betteranimalsplus:eel_saltwater, 10, 1, 3
30, plains, minecraft:plains, MONSTER, minecraft:spider, 80, 4, 4
31, plains, minecraft:plains, MONSTER, minecraft:zombie, 80, 4, 4
32, plains, minecraft:plains, MONSTER, minecraft:zombie_villager, 10, 1, 1
33, plains, minecraft:plains, MONSTER, minecraft:skeleton, 80, 4, 4
34, plains, minecraft:plains, MONSTER, minecraft:creeper, 80, 4, 4
35, plains, minecraft:plains, MONSTER, minecraft:slime, 80, 4, 4
36, plains, minecraft:plains, MONSTER, minecraft:enderman, 5, 1, 4
37, plains, minecraft:plains, MONSTER, minecraft:witch, 5, 1, 1
38, plains, minecraft:plains, MONSTER, betterdefaultbiomes:lost_miner, 80, 1, 3
39, plains, minecraft:plains, MONSTER, alexsmobs:centipede_head, 10, 1, 1
40, plains, minecraft:plains, MONSTER, alexsmobs:centipede_head, 10, 1, 1
41, plains, minecraft:plains, MONSTER, rats:rat_spawner, 80, 1, 3
42, plains, minecraft:plains, MONSTER, rats:pied_piper, 10, 1, 1
43, plains, minecraft:plains, MONSTER, tconstruct:earth_slime, 80, 2, 4
44, plains, minecraft:plains, MONSTER, tconstruct:sky_slime, 80, 2, 4
45, plains, minecraft:plains, MONSTER, quark:toretoise, 80, 1, 1
46, plains, minecraft:plains, MONSTER, quark:stoneling, 80, 1, 1
47, plains, minecraft:plains, CREATURE, minecraft:sheep, 12, 4, 4
48, plains, minecraft:plains, CREATURE, minecraft:pig, 10, 4, 4
49, plains, minecraft:plains, CREATURE, minecraft:chicken, 10, 4, 4
50, plains, minecraft:plains, CREATURE, minecraft:cow, 10, 4, 4
51, plains, minecraft:plains, CREATURE, minecraft:horse, 10, 2, 6
52, plains, minecraft:plains, CREATURE, minecraft:donkey, 10, 1, 3
53, plains, minecraft:plains, CREATURE, exoticbirds:hummingbird, 18, 2, 5
54, plains, minecraft:plains, CREATURE, exoticbirds:peafowl, 10, 2, 5
55, plains, minecraft:plains, CREATURE, exoticbirds:cassowary, 10, 2, 5
56, plains, minecraft:plains, CREATURE, exoticbirds:pigeon, 12, 2, 5
57, plains, minecraft:plains, CREATURE, betterdefaultbiomes:zebra, 12, 2, 4
58, plains, minecraft:plains, CREATURE, alexsmobs:raccoon, 10, 2, 4
59, plains, minecraft:plains, CREATURE, alexsmobs:crow, 10, 3, 5
60, plains, minecraft:plains, CREATURE, alexsmobs:raccoon, 10, 2, 4
61, plains, minecraft:plains, CREATURE, alexsmobs:crow, 10, 3, 5
62, plains, minecraft:plains, CREATURE, betteranimalsplus:goat, 10, 1, 4
63, plains, minecraft:plains, CREATURE, betteranimalsplus:pheasant, 12, 1, 3
64, plains, minecraft:plains, CREATURE, betteranimalsplus:songbird, 11, 1, 4
65, plains, minecraft:plains, CREATURE, betteranimalsplus:badger, 10, 1, 2
66, plains, minecraft:plains, CREATURE, betteranimalsplus:coyote, 10, 1, 6
67, plains, minecraft:plains, CREATURE, betteranimalsplus:boar, 10, 1, 4
68, plains, minecraft:plains, AMBIENT, minecraft:bat, 10, 8, 8
69, plains, minecraft:plains, AMBIENT, supplementaries:firefly, 10, 5, 9
