1, minecraft:swamp_hut, HEADING, header:ignore, 0, 0, 0
2, minecraft:swamp_hut, MONSTER, minecraft:witch, 10, 1, 1
3, minecraft:swamp_hut, CREATURE, minecraft:cat, 10, 1, 1
4, minecraft:pillager_outpost, HEADING, header:ignore, 0, 0, 0
5, minecraft:pillager_outpost, MONSTER, minecraft:pillager, 10, 1, 1
6, minecraft:monument, HEADING, header:ignore, 0, 0, 0
7, minecraft:monument, MONSTER, minecraft:guardian, 10, 2, 4
8, minecraft:fortress, HEADING, header:ignore, 0, 0, 0
9, minecraft:fortress, MONSTER, minecraft:blaze, 10, 2, 3
10, minecraft:fortress, MONSTER, minecraft:zombified_piglin, 50, 4, 4
11, minecraft:fortress, MONSTER, minecraft:wither_skeleton, 10, 5, 5
12, minecraft:fortress, MONSTER, minecraft:skeleton, 20, 5, 5
13, minecraft:fortress, MONSTER, minecraft:magma_cube, 30, 4, 4
14, minecraft:mineshaft, HEADING, header:ignore, 0, 0, 0
15, minecraft:mansion, HEADING, header:ignore, 0, 0, 0
16, minecraft:jungle_pyramid, HEADING, header:ignore, 0, 0, 0
17, minecraft:desert_pyramid, HEADING, header:ignore, 0, 0, 0
18, minecraft:igloo, HEADING, header:ignore, 0, 0, 0
19, minecraft:ruined_portal, HEADING, header:ignore, 0, 0, 0
20, minecraft:shipwreck, HEADING, header:ignore, 0, 0, 0
21, minecraft:stronghold, HEADING, header:ignore, 0, 0, 0
22, minecraft:ocean_ruin, HEADING, header:ignore, 0, 0, 0
23, minecraft:endcity, HEADING, header:ignore, 0, 0, 0
24, minecraft:endcity, MONSTER, alexsmobs:mimicube, 40, 1, 3
25, minecraft:buried_treasure, HEADING, header:ignore, 0, 0, 0
26, minecraft:village, HEADING, header:ignore, 0, 0, 0
27, minecraft:nether_fossil, HEADING, header:ignore, 0, 0, 0
28, minecraft:nether_fossil, MONSTER, alexsmobs:soul_vulture, 30, 2, 3
29, minecraft:bastion_remnant, HEADING, header:ignore, 0, 0, 0
30, betterdungeons:small_dungeon, HEADING, header:ignore, 0, 0, 0
31, betterdungeons:spider_dungeon, HEADING, header:ignore, 0, 0, 0
32, betterdungeons:spider_dungeon, MONSTER, minecraft:spider, 80, 4, 15
33, betterdungeons:spider_dungeon, MONSTER, minecraft:cave_spider, 50, 4, 8
34, betterdungeons:skeleton_dungeon, HEADING, header:ignore, 0, 0, 0
35, betterdungeons:skeleton_dungeon, MONSTER, minecraft:skeleton, 80, 4, 15
36, betterdungeons:zombie_dungeon, HEADING, header:ignore, 0, 0, 0
37, betterdungeons:zombie_dungeon, MONSTER, minecraft:zombie, 80, 4, 15
38, supplementaries:way_sign, HEADING, header:ignore, 0, 0, 0
39, repurposed_structures:mineshaft_birch, HEADING, header:ignore, 0, 0, 0
40, repurposed_structures:mineshaft_dark_forest, HEADING, header:ignore, 0, 0, 0
41, repurposed_structures:mineshaft_desert, HEADING, header:ignore, 0, 0, 0
42, repurposed_structures:mineshaft_icy, HEADING, header:ignore, 0, 0, 0
43, repurposed_structures:mineshaft_jungle, HEADING, header:ignore, 0, 0, 0
44, repurposed_structures:mineshaft_ocean, HEADING, header:ignore, 0, 0, 0
45, repurposed_structures:mineshaft_savanna, HEADING, header:ignore, 0, 0, 0
46, repurposed_structures:mineshaft_stone, HEADING, header:ignore, 0, 0, 0
47, repurposed_structures:mineshaft_swamp, HEADING, header:ignore, 0, 0, 0
48, repurposed_structures:mineshaft_taiga, HEADING, header:ignore, 0, 0, 0
49, repurposed_structures:mineshaft_nether, HEADING, header:ignore, 0, 0, 0
50, repurposed_structures:mineshaft_crimson, HEADING, header:ignore, 0, 0, 0
51, repurposed_structures:mineshaft_warped, HEADING, header:ignore, 0, 0, 0
52, repurposed_structures:mineshaft_end, HEADING, header:ignore, 0, 0, 0
53, repurposed_structures:stronghold_nether, HEADING, header:ignore, 0, 0, 0
54, repurposed_structures:stronghold_nether, MONSTER, minecraft:blaze, 10, 2, 3
55, repurposed_structures:stronghold_nether, MONSTER, minecraft:zombified_piglin, 30, 4, 4
56, repurposed_structures:stronghold_nether, MONSTER, minecraft:wither_skeleton, 10, 5, 5
57, repurposed_structures:stronghold_nether, MONSTER, minecraft:skeleton, 20, 5, 5
58, repurposed_structures:stronghold_nether, MONSTER, minecraft:magma_cube, 30, 4, 4
59, repurposed_structures:stronghold_end, HEADING, header:ignore, 0, 0, 0
60, repurposed_structures:fortress_jungle, HEADING, header:ignore, 0, 0, 0
61, repurposed_structures:igloo_grassy, HEADING, header:ignore, 0, 0, 0
62, repurposed_structures:igloo_stone, HEADING, header:ignore, 0, 0, 0
63, repurposed_structures:temple_nether_wasteland, HEADING, header:ignore, 0, 0, 0
64, repurposed_structures:temple_nether_basalt, HEADING, header:ignore, 0, 0, 0
65, repurposed_structures:temple_nether_warped, HEADING, header:ignore, 0, 0, 0
66, repurposed_structures:temple_nether_crimson, HEADING, header:ignore, 0, 0, 0
67, repurposed_structures:temple_nether_soul, HEADING, header:ignore, 0, 0, 0
68, repurposed_structures:outpost_birch, HEADING, header:ignore, 0, 0, 0
69, repurposed_structures:outpost_birch, MONSTER, minecraft:pillager, 10, 1, 1
70, repurposed_structures:outpost_jungle, HEADING, header:ignore, 0, 0, 0
71, repurposed_structures:outpost_jungle, MONSTER, minecraft:pillager, 10, 1, 1
72, repurposed_structures:outpost_giant_tree_taiga, HEADING, header:ignore, 0, 0, 0
73, repurposed_structures:outpost_giant_tree_taiga, MONSTER, minecraft:pillager, 10, 1, 1
74, repurposed_structures:outpost_desert, HEADING, header:ignore, 0, 0, 0
75, repurposed_structures:outpost_desert, MONSTER, minecraft:pillager, 10, 1, 1
76, repurposed_structures:outpost_badlands, HEADING, header:ignore, 0, 0, 0
